OBJECTID,SITE_ID,NAME,ADDRESS,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,NUMPLOTS,DATE_ESTAB,SE_ANNO_CAD_DATA,SIZE_SQFT,IN_ROW,LOCATION,AFFILIATION,AFFILIATION_URL,x,y
23,6,Burke-Gilman Gardens,5200 Mithun Pl NE,BEP/PDA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/burke-gilman-gardens,23,1989,System.Byte[],3500,No,Mithun Pl NE / NE 52nd St,,,1283814.42425542,247039.76004903
24,54,Hawkins,504 M L King Jr Way,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hawkins,18,2005,System.Byte[],2100,No,M L King Jr Way / E Jefferson St,,,1279525.41701902,224722.382490173
25,44,Queen Pea,1800 5th Ave N,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/queen-pea,32,2002,System.Byte[],4000,Yes,5th Ave N / Howe St,,,1267262.17508647,235394.561317101
26,20,Republican,503 20th Ave E,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/republican,23,1986,System.Byte[],2600,No,20th Ave E / E Republican St,,,1277193.03628065,230860.001888454
27,31,Squire Park,152 14th Ave,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/squire-park,35,1995,System.Byte[],5000,No,14th Ave / E Fir St,,,1275162.83602257,223422.092376843
28,1,Jackson Park,13049 10th Ave NE,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/jackson-park,51,1974,System.Byte[],14100,No,NE 133rd St / 10th Ave NE,,,1274931.74962233,267823.374470308
29,38,Greg's Garden,1401 NW 54th St,Metro,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/gregs-garden,21,1999,System.Byte[],2500,No,14th Ave NW / NW 54th St,,,1260855.98576792,247348.136689335
30,15,Maa Nyei Lai Ndeic,4913 Columbia Dr S,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/maa-nyei-lai-ndeic-(my-mothers-garden),110,1982,System.Byte[],44000,No,Columbia Dr S / S Ferdinand St,,,1276908.62348035,206769.313479781
31,55,Spring Street,1101 25th Ave,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/spring-street,13,2009,System.Byte[],1900,Yes,E Spring St / 25th Ave,,,1278583.03308207,226581.264028072
32,49,Brandon Street Orchard,4625 S Brandon St,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/brandon-street-orchard,0,2003,System.Byte[],2500,No,47th Ave S / S Brandon St,,,1284625.33612825,205090.491270065
33,5,Picardo Farm,8040 25th Ave NE,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/picardo-farm,259,1973,System.Byte[],98000,Yes,25th Ave NE / NE 80th St,,,1279037.63538653,254274.324280426
34,76,Howell Collective,1514 E Howell Street,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/howell-collective,0,2011,System.Byte[],4200,No,E Denny Way / 16th Ave,,,1275802.12959121,228951.5476145
35,40,Courtland Place,S Spokane St & 36th Ave S,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/courtland-place,23,1999,System.Byte[],2500,Yes,S Spokane St / 36th Ave S,,,1281221.62444477,211889.438541025
36,87,Licton Springs,College Way N & N 92nd St,North Seattle College,P-Patch (public),0,0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/licton-springs,67,2014,System.Byte[],15000, ,College Way N / N 92nd St,,,1271019.53445032,257566.992699802
37,26,Hazel Heights,4200 Baker Ave NW,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hazel-heights,19,2010,System.Byte[],2000,No,Baker Ave NW / NW 42nd St,,,1264355.6795315,243684.209069595
38,35,Greenwood,343 NW 88th St,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/greenwood,32,1997,System.Byte[],3200,No,3rd Ave NW / NW 88th St,,,1263941.34122707,256360.237114564
39,25,Ida Mia Garden,E Madison St & Lake Washington Blvd E,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ida-mia-garden,7,1994,System.Byte[],1600,No,,,,1280823.72946836,231644.120801255
40,85,Barton Street,3405 SW Barton St,SPU,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/barton-street,45,2012,System.Byte[],12000,No,SW Barton St / 34th Ave SW,,,1259314.56099834,193816.628986523
41,51,Angel Morgan,3956 S Morgan St,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/angel-morgan,30,2004,System.Byte[],22650,Yes,42nd Ave S / S Morgan St,,,1282889.54604648,201875.127490774
42,12,Eastlake,2892 Fairview Ave E,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/eastlake,47,1981,System.Byte[],75000,Yes,Eastlake Ave E / E Shelby St,,,1272666.35678801,239746.220777556
43,48,Linden Orchard,744 N 67th St,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/linden-orchard,25,2003,System.Byte[],2500,No,Linden Ave N / N 67th St,,,1267337.25579055,251008.077109084
44,77,Shiga's Garden,5522 University Way NE,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/shigas-garden,18,2010,System.Byte[],2000,No,University Way NE / NE 56th St,,,1275950.49682337,247585.716721579
45,87,Westcrest Garden,9000 8th Ave SW,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/p-patch-community-gardening/p-patch-list/westcrest-garden,52,2013,System.Byte[],55000,No,SW Barton St / 8th Ave SW,,,1267311.48075053,194204.324858919
46,53,Maple Leaf,529 NE 103rd St,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/maple-leaf,22,2007,System.Byte[],16000,No,5th Ave NE / NE 103rd St,,,1273898.15896527,259940.508478239
47,22,Bradner Gardens Park,1750 Bradner Pl S,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/bradner-gardens-park,60,1987,System.Byte[],14330,No,29th Ave S / S Grand St,,,1279629.59474714,217619.24008289
48,23,Estelle Street,S Estelle St & Wetmore Ave S,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/estelle-street,19,1990,System.Byte[],6000,Yes,33rd Ave S / S Hinds St,,,1280491.40422001,212233.70042938
49,11,Interbay,2451 15th Ave W,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/interbay,132,1974,System.Byte[],43000,No,W Wheeler St / 15th Ave W,,,1259880.90071091,237706.568167463
50,8,Ravenna,5200 Ravenna Ave NE,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ravenna,18,1981,System.Byte[],2200,Yes,Ravenna Ave NE / NE 52nd St,,,1278125.95704959,246557.219952524
51,19,Judkins,1107 24th Ave S,DON/GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/judkins,24,1986,System.Byte[],5600,No,24th Ave S / S Norman St,,,1278153.04140162,219662.618132994
52,24,Phinney Ridge,5926 3rd Ave NW,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/phinney-ridge,21,1991,System.Byte[],2600,Yes,3rd Ave NW / NW 60th St,,,1264206.15761134,249002.700595036
53,9,Good Shepherd,4618 Bagley Ave N,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/good-shepherd,42,1981,System.Byte[],8400,No,N 46th St / Bagley Ave N,,,1271113.63006642,245562.82257551
54,17,University Heights,5031 University Way NE,SSD,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/university-heights,31,1991,System.Byte[],5000,No,University Way NE / NE 50th St,,,1275767.49138318,246314.29553628
