SITE_NAME,PrimaryAddress,Acres,ParkSiteID,latitude,longitude
Forest Park - Upper Washout Way,5800 Forest Dr SE,4.899,74,47.55105509137441,-122.15524634028935
Forest Park Neighborhood Park,13300 SE 57th St,0.376,75,47.5519428745025,-122.1627001435161
West Summit Open Space,,7.675,76,47.54903679716246,-122.136068289312
Forest Glen Park & Open Space,5911 Forest Drive SE,4.276,77,47.54563374540241,-122.14909860224338
SE 63rd Greenbelt North,,7.985,78,47.54909059192735,-122.13882810041353
Owl Avenue Open Space,,0.75,79,47.548619123536724,-122.14992722076771
Newport Hills Mini Park,12843 SE 60th St,0.48,80,47.54846892480055,-122.16978580496944
Forest Ridge Mini Park,15439 SE 67th St,0.563,81,47.54120684448952,-122.13621500574928
Norelius Property & 41.5 Open Space,16901 SE 41st St,13.367,82,47.573673893260384,-122.11401145144195
41.5 Mini Park,17128 SE 40th Pl,1.43,83,47.57391342913091,-122.11103853955878
Cougar Ridge West Open Space,6620 163rd Pl SE,8.549,85,47.541093707000535,-122.12292365843315
Winfield Open Space,,3.667,86,47.54380906727418,-122.11936607326079
Cherry Crest Park,12404 NE 32nd St,5.685,87,47.64124826049663,-122.17353535532399
North Bellevue Community & Senior Center,4063 148th Ave NE,4.683,88,47.64735718470049,-122.1444445136108
Bellevue Golf Course,5500 140th Ave NE,121.168,89,47.65661810034284,-122.14917350806535
Bellevue Ballfields At Marymoor Park,6500 176TH AVE NE,19.959,90,47.662582876936746,-122.10799682938948
Downtown Park,10201 NE 4th St,21.362,93,47.61260748070507,-122.2045937699617
Bellevue Airfield Park,2997 160th Ave. SE,27.559,94,47.58582403864256,-122.12928878451737
168th Avenue NE - Open Space,109 168th Ave NE,18.781,95,47.60960811279874,-122.11700734104213
Eastgate Park,14500 SE Newport Way,38.997,97,47.5687359327559,-122.14726778110803
Lakemont Highlands Park & Open Space,15800 SE 63rd St,28.956,98,47.552197178610925,-122.12943766650226
Cougar Ridge East Open Space,16670 SE 69th Way,2.925,99,47.54026876119103,-122.11754353455242
Woodridge Open Space,12855 SE 17th St,46.002,100,47.59792829522025,-122.17029382206066
Forest Ridge Open Space,,5.083,101,47.54283461328384,-122.13048323460384
The Heights Open Space,,3.796,102,47.561268305033,-122.13167616843914
Collingwood Open Space,,3.443,103,47.56106051979425,-122.12637220910676
Vuemont South Open Space,,2.553,104,47.56079318686784,-122.11836324687681
Somerset Park,4738 136th Ave SE,10.604,105,47.558621144610015,-122.15894483702496
Somerset Highlands Open Space,,2.054,106,47.56015096942151,-122.15128583576494
Saddleback Open Space,,4.355,107,47.55308249279214,-122.13801400977194
Forest Park Meadows Open Space,,11.494,108,47.55110862710818,-122.14465554899698
Forest Glen East Open Space,,7.656,109,47.54806168824676,-122.1459439727299
Lakemont - Stratford Open Space,,8.133,110,47.56104519459306,-122.11403211806198
Lakemont Community Park & Open Space,5170 Village Park Drive SE ,123.908,111,47.55672751581816,-122.10691677907856
Lakemont - Lakemont Trail,,11.711,112,47.54993413799222,-122.11185486905465
Lakemont - Chandler Neighborhood Park & Open Space,16692 SE 56th Pl,8.145,113,47.553234476803965,-122.11731960235018
Lakemont - Deer Run Park & Open Space,17600 Village Park Drive SE,7.19,114,47.55166697662176,-122.1079107500534
Forest Drive Open Space,,2.135,115,47.55472237260696,-122.16243028974206
Foresthill Neighborhood Park & Open Space,13232 SE 51st St,4.418,116,47.55826042930044,-122.16340400358926
Horizon Highlands Open Space,,2.949,117,47.56104614562264,-122.14445245565156
Chism Beach Park,9600 SE 11th St,17.026,118,47.60005195488362,-122.21001214202778
Kelsey Creek Park,410 130th Pl SE,149.105,119,47.60209910796152,-122.16386536250452
Sunset Mini Park,2837 139th Ave SE,5.054,120,47.585677712583625,-122.15576875554245
Ardmore Park,16833 NE 30th St,30.477,121,47.63408211366546,-122.11310316210786
Woodside East & Wetherburn Open Space,3411 169th Ave NE,2.2,122,47.64026111745038,-122.11484029586323
Compton Trails Open Space,3450 126th Ave NE,3.003,124,47.64028645866513,-122.17070004917773
Spring Hills Property,2907 Bellevue Way NE,3.082,125,47.637031950053746,-122.20265067008094
Lake Hills #27 Open Space,,2.096,126,47.615852651986756,-122.10607480532323
SE 63rd Greenbelt South,,10.957,127,47.54464978078114,-122.13692944195411
Lakeridge Estates Open Space,,5.144,128,47.624959752044965,-122.09086327342227
Lakemont Blvd Open Space,,1.023,129,47.55630420941245,-122.12150392641635
Richards Valley Open Space,,10.902,130,47.59141209250701,-122.16064946970727
Silverleaf Open Space,,3.234,131,47.558686254956385,-122.12359689612553
Lewis Creek Park,5808 Lakemont Blvd,55.79,132,47.5514401252144,-122.12380845544179
Lake Hills Greenbelt,15416 SE 16th St,166.943,133,47.60067371771814,-122.13637299137226
Mercer Slough Nature Park,1625 118th Ave. SE,328.90863389,134,47.58753913176572,-122.18608089186827
Robinswood Community Park,2430 148th Avenue SE,49.98,135,47.588142274274624,-122.13998811705275
Heritage Belshaw Property,15901 SE Cougar Mountain Way,1.021,136,47.54579449732187,-122.12914433839258
Surrey Downs,585 112th Ave SE,11.487,137,47.603940313845236,-122.19213506736975
Bridle Trails Corner Park,2402 134th Ave NE,2.013,139,47.63210061569874,-122.16140462148338
Coal Creek Natural Area,15400 SE Newcastle Coal Creek Road,461.27108499,141,47.548480102260505,-122.1571236384585
Tax Lot Open Space,,11.445,143,47.54010564584191,-122.12822544580952
Goldsmith Neighborhood Park,14475 NE 35th Street,7.636,145,47.640067479162894,-122.14761015052544
SE 32nd St Park,,2.704,154,47.581762760583736,-122.1718539513004
NE 6th (Bellacere) Open Space,,5.367,156,47.614083933870184,-122.13891417648415
Meydenbauer Bay Park,9899 Lake Washington Blvd NE,8.59982033,159,47.611585917119015,-122.21055661129355
Pikes Peak 2nd ADD - TR A,3850 122nd Avenue NE,6.224,162,47.64489124013447,-122.17587931299305
11024 NE 2nd Place Property,11024 NE 2nd Pl,0.202,164,47.61220485714085,-122.19262165375022
Pikes Peak 2nd ADD - TR B,,0.619,166,47.64591589011229,-122.17798722611853
Newport Hills Woodlawn Park,11550 SE 60th St,29.856628,167,47.55325021014167,-122.18673160728022
11017 NE 2nd Place Property,11017 NE 2nd Pl,0.196,168,47.612203298437635,-122.19304237952923
McCormick Park,11190 NE 12th Street,3.608,91,47.62131145169855,-122.19665424879771
West Tributary Property,,3.316,169,47.623832804207844,-122.17193080988278
West Tributary Property,,3.523,170,47.62287489294455,-122.17172824266456
West Tributary Property,,1.302,171,47.62249615313113,-122.17010772264844
Bridle Trails Valley Creek Park,,1.65,595,47.6507549564426,-122.15252067002508
Meydenbauer Bay Park Future Expansion,"2  99th Ave. NE, Piers 1 and 2",1.09534578,92,47.609788457168804,-122.20745758851422
Meydenbauer Bay Park Future Expansion,"2  99th Ave. NE, Piers 1 and 2",0.42419757,92,47.60952082459633,-122.20635968676498
Eagles Mere Open Space,15217 SE 48th Dr,3.33062417,84,47.55755600585265,-122.1365308799363
Eastrail Connection,12020 SE 11th St,0.57,596,47.60051834119792,-122.17916055680548
Eastgate Property,14700 SE 39th St,0.44989826,597,47.57533569971601,-122.14466710140546
COB Park,11101 Main St,1.72915889,598,47.60963698934577,-122.1917867470829
Vasa Open Space,3560 W Lake Sammamish Pkwy SE,5.74722513,599,47.5754189207649,-122.11524188358068
